roi_id	detector	crystal	module	x1	x2	y1	y2	mask_pixels	center	width	height	background	r-square	automatic_exclusion_reasons	q_ave	dq_ave	q_range	dq_range	automatic_accepted	final_exclusion_reasons	final_selected
lambda:VD-D1	lambda	VD-D1	VD	280	310	433	463	74	9680.36160742987	0.5583224305916675	1548.69499757548	4.5777604165140104	0.9593646192056204		1.6923717090694037	0.45686434677793597	0.11613152023704609	0.006546711147790152	True		True
lambda:VD-D2	lambda	VD-D2	VD	351	381	443	473	226	9681.325637928758	0.8932780046243398	320.116586517221	-7.159101457299984	0.9737360059813511		1.5839079391724868	0.45711276975978143	0.11488396008798096	0.005746756940429476	True		True
lambda:VD-D3	lambda	VD-D3	VD	429	459	427	457	181	9680.391297827326	0.5595882450338151	12.569237414208777	0.13271096475166297	0.9657859140857145		1.6923724585584217	0.4568655411559422	0.11612802437650926	0.006547427812057138	True		True
lambda:VD-E1	lambda	VD-E1	VD	290	320	465	495	82	9681.711089147215	1.068957581184531	10353.345357444094	-238.7184720938737	0.9518401762746221		1.1587490545438852	0.4554965954228294	0.1160966146304847	0.011480115911591149	True		True
lambda:VD-E2	lambda	VD-E2	VD	363	393	490	520	5	9682.013235489148	0.8674129905959644	1493.9605272494525	-25.642136834497133	0.9850526842026771		0.9877527143030064	0.45287007240432287	0.12088035631330396	0.020240400777997658	True		True
lambda:VD-E3	lambda	VD-E3	VD	432	462	480	510	261	9681.613490129721	0.8223176214149882	168.02734523478787	-3.384733933060818	0.976232216651822		1.1587520024755233	0.45549090925129704	0.11611332302500887	0.011484006762572607	True		True
minipix:VB-A1	minipix	VB-A1	VB	37	67	26	56	162	9682.105265290085	1.3354989667824273	308.98562224417526	-9.950166272301999	0.9810588482493925		9.840677900772235	0.0873338248231866	0.4050555982703514	0.0034486192251991926	True		True
minipix:VB-B1	minipix	VB-B1	VB	30	60	62	92	168	9680.759463616743	1.4314701817071598	342.81463696253905	-12.318467551919142	0.9624481044982424		9.714132333059602	0.11400680372275339	0.4000877613283169	0.004499049669878449	True		True
minipix:VB-C1	minipix	VB-C1	VB	26	56	111	141	175	9680.122845023354	1.1867786629724888	353.0591459029353	-10.16255803665759	0.9345905268164871		9.551886303068153	0.1407287638516167	0.3937007874069618	0.005549229640346515	True		True
minipix:VB-D1	minipix	VB-D1	VB	28	58	154	184	25	9679.628720493767	0.7164118549487946	49.46560577079725	-0.5243787701817912	0.9459512014291195		9.354271001212352	0.16717105339411542	0.3859227198003321	0.00658534849180703	True		True
minipix:VB-E1	minipix	VB-E1	VB	29	59	207	237	2	9678.690767063637	0.0020000348170622724	25990.04190187188	-0.016683540948513844	0.9867282874514789		9.121763486223731	0.19312807634959006	0.37678971824622387	0.007598149487378053	True		True
minipix:VU-A1	minipix	VU-A1	VU	108	138	36	66	146	9682.900282621948	1.3704632312435303	286.39040762295105	-11.277029469218418	0.9546727994006244		7.268368245858516	0.3219332635548889	0.3042200535353725	0.012489181363817548	True		True
minipix:VU-B1	minipix	VU-B1	VU	112	142	76	106	318	9681.892253018905	1.1158748207166567	749.4899230943203	-21.940476797494686	0.9798100438519168		6.837249467254719	0.34185887476344035	0.2875662276199469	0.013192714412297357	True		True
minipix:VU-C1	minipix	VU-C1	VU	109	139	121	151	8	9682.28784255662	0.002526833698701837	24363.348332756526	0.1862115728030865	0.4755014820962148	r_squared_below_threshold	6.381615371712359	0.36054139524541884	0.27002670494499625	0.013822058833905582	False	r_squared_below_threshold	False
minipix:VU-D1	minipix	VU-D1	VU	107	137	162	192	5	9688.40681353726	0.10520750271117818	1.4785485378590921	0.17118265087740378	0.20831043899804502	r_squared_below_threshold	5.904417373675415	0.37799880868696634	0.25160105146819856	0.01437842062644068	False	r_squared_below_threshold	False
minipix:VU-E1	minipix	VU-E1	VU	115	145	210	240	1	9684.19769587655	0.008106888561247335	2.7413370479942847	-1.82219553891759e-05	0.9999995433752816		5.402965713300125	0.3938287362235723	0.23278925743438705	0.014794530591672628	True		True
minipix:VD-A1	minipix	VD-A1	VD	189	219	14	44	118	9684.74756052489	1.1393287761418454	245.45177160412516	-7.426209373707882	0.9706241356782036		3.394376858233428	0.4394009827809818	0.16057279060086627	0.014657966136036371	True		True
minipix:VD-B1	minipix	VD-B1	VD	175	205	57	87	129	9683.516993085865	1.2779115838402517	205.3571145045715	-7.584030942807603	0.965815417736246		2.826934209351599	0.44754153174099404	0.14252070086551072	0.013545281737833204	True		True
minipix:VD-C1	minipix	VD-C1	VD	170	200	107	137	120	9682.31512730925	1.1188698198286116	200.53672894228635	-6.409400930340395	0.9577651114273529		2.256408379110148	0.45358917967532647	0.12680142168457031	0.011127466725299517	True		True
minipix:VD-D1	minipix	VD-D1	VD	171	201	160	190	24	9682.222272153405	0.7336534206478005	13.913078564962536	-0.022413995803815576	0.7928805669363005	r_squared_below_threshold	1.6924189354667891	0.4569391263447688	0.11591242745381813	0.00659174903116011	False	r_squared_below_threshold	False
minipix:VD-E1	minipix	VD-E1	VD	181	211	202	232	6	9680.70760580314	0.005954531263142649	3703.4660608664717	0.14622167783598208	0.4138183084458249	r_squared_below_threshold	1.1587794638044917	0.4554380947632942	0.11626839200776229	0.011520104449049329	False	r_squared_below_threshold	False
